title,year,status,award
Succession,2024,Winner,Best Television Series - Drama
Mission: Impossible - Dead Reckoning Part 1,2024,Nominee,Cinematic and Box Office Achievement
"Last of Us, The",2024,Nominee,Best Television Series - Drama
Taylor Swift: The Eras Tour,2024,Nominee,Cinematic and Box Office Achievement
John Wick: Chapter 4,2024,Nominee,Cinematic and Box Office Achievement
The Super Mario Bros. Movie,2024,Nominee,Cinematic and Box Office Achievement
Guardians of the Galaxy Vol. 3,2024,Nominee,Cinematic and Box Office Achievement
Spider-Man: Across the Spider-Verse,2024,Nominee,Cinematic and Box Office Achievement
Oppenheimer,2024,Nominee,Cinematic and Box Office Achievement
Barbie,2024,Winner,Cinematic and Box Office Achievement
Succession,2024,Winner,Best Television Series - Drama
Mission: Impossible - Dead Reckoning Part 1,2024,Nominee,Cinematic and Box Office Achievement
"Last of Us, The",2024,Nominee,Best Television Series - Drama
Taylor Swift: The Eras Tour,2024,Nominee,Cinematic and Box Office Achievement
John Wick: Chapter 4,2024,Nominee,Cinematic and Box Office Achievement
The Super Mario Bros. Movie,2024,Nominee,Cinematic and Box Office Achievement
Guardians of the Galaxy Vol. 3,2024,Nominee,Cinematic and Box Office Achievement
Spider-Man: Across the Spider-Verse,2024,Nominee,Cinematic and Box Office Achievement
Oppenheimer,2024,Nominee,Cinematic and Box Office Achievement
Barbie,2024,Winner,Cinematic and Box Office Achievement
"Crown, The",2024,Nominee,Best Television Series - Drama
Christopher Nolan,2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Screenplay - Motion Picture
"Justine Triet, Arthur Harari",2024,Winner,Best Screenplay - Motion Picture
"Morning Show, The",2024,Nominee,Best Television Series - Drama
"Eric Roth, Martin Scorsese",2024,Nominee,Best Screenplay - Motion Picture
Tony McNamara,2024,Nominee,Best Screenplay - Motion Picture
"Greta Gerwig, Noah Baumbach",2024,Nominee,Best Screenplay - Motion Picture
Celine Song,2024,Nominee,Best Director - Motion Picture
Bradley Cooper,2024,Nominee,Best Director - Motion Picture
Yorgos Lanthimos,2024,Nominee,Best Director - Motion Picture
Sarah Snook,2024,Winner,Best Performance by a Female Actor in a Television Series – Drama
Greta Gerwig,2024,Nominee,Best Director - Motion Picture
Christopher Nolan,2024,Winner,Best Director - Motion Picture
Bella Ramsey,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
Martin Scorsese,2024,Nominee,Best Director - Motion Picture
Keri Russell,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
Mark Ruffalo,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Charles Melton,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Ryan Gosling,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Robert Downey Jr.,2024,Winner,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Robert De Niro,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Willem Dafoe,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture
Da’Vine Joy Randolph,2024,Winner,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Rosamund Pike,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Julianne Moore,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Jodie Foster,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Danielle Brooks,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
Emily Blunt,2024,Nominee,Best Performance by a Female Actor in a Supporting Role in any Motion Picture
1923,2024,Nominee,Best Television Series - Drama
The Zone of Interest,2024,Nominee,Best Motion Picture – Non-English Language
Society of the Snow,2024,Nominee,Best Motion Picture – Non-English Language
Past Lives,2024,Nominee,Best Motion Picture – Non-English Language
Io Capitano,2024,Nominee,Best Motion Picture – Non-English Language
"Diplomat, The",2024,Nominee,Best Television Series - Drama
Fallen Leaves,2024,Nominee,Best Motion Picture – Non-English Language
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language
Helen Mirren,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
Wish,2024,Nominee,Best Motion Picture - Animated
Suzume,2024,Nominee,Best Motion Picture - Animated
The Zone of Interest,2024,Nominee,Best Motion Picture – Non-English Language
Society of the Snow,2024,Nominee,Best Motion Picture – Non-English Language
Past Lives,2024,Nominee,Best Motion Picture – Non-English Language
Io Capitano,2024,Nominee,Best Motion Picture – Non-English Language
"Diplomat, The",2024,Nominee,Best Television Series - Drama
Fallen Leaves,2024,Nominee,Best Motion Picture – Non-English Language
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language
Helen Mirren,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
Wish,2024,Nominee,Best Motion Picture - Animated
Suzume,2024,Nominee,Best Motion Picture - Animated
The Zone of Interest,2024,Nominee,Best Motion Picture – Non-English Language
Society of the Snow,2024,Nominee,Best Motion Picture – Non-English Language
Past Lives,2024,Nominee,Best Motion Picture – Non-English Language
Io Capitano,2024,Nominee,Best Motion Picture – Non-English Language
"Diplomat, The",2024,Nominee,Best Television Series - Drama
Fallen Leaves,2024,Nominee,Best Motion Picture – Non-English Language
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language
Helen Mirren,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
Wish,2024,Nominee,Best Motion Picture - Animated
Suzume,2024,Nominee,Best Motion Picture - Animated
Nicolas Cage,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy
Emma Stone,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama
Emma Stone,2024,Winner,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy
Margot Robbie,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy
Brian Cox,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama
Alma Pöysti,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy
Kieran Culkin,2024,Winner,Best Performance by a Male Actor in a Television Series – Drama
Natalie Portman,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy
Jennifer Lawrence,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy
Gary Oldman,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama
Barry,2024,Nominee,Best Television Series - Musical or Comedy
Air,2024,Nominee,Best Motion Picture - Musical or Comedy
"Bear, The",2024,Winner,Best Television Series - Musical or Comedy
Andrew Scott,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama
Jury Duty,2024,Nominee,Best Television Series - Musical or Comedy
Only Murders in the Building,2024,Nominee,Best Television Series - Musical or Comedy
Cillian Murphy,2024,Winner,Best Performance by a Male Actor in a Motion Picture – Drama
Ted Lasso,2024,Nominee,Best Television Series - Musical or Comedy
Barry Keoghan,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama
Colman Domingo,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama
Barry,2024,Nominee,Best Television Series - Musical or Comedy
Air,2024,Nominee,Best Motion Picture - Musical or Comedy
"Bear, The",2024,Winner,Best Television Series - Musical or Comedy
Andrew Scott,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama
Jury Duty,2024,Nominee,Best Television Series - Musical or Comedy
Only Murders in the Building,2024,Nominee,Best Television Series - Musical or Comedy
Cillian Murphy,2024,Winner,Best Performance by a Male Actor in a Motion Picture – Drama
Ted Lasso,2024,Nominee,Best Television Series - Musical or Comedy
Barry Keoghan,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama
Colman Domingo,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama
Rachel Brosnahan,2024,Nominee,Best Performance by a Female Actor in a Television Series – Musical or Comedy
Leonardo DiCaprio,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama
Quinta Brunson,2024,Nominee,Best Performance by a Female Actor in a Television Series – Musical or Comedy
Ayo Edebiri,2024,Winner,Best Performance by a Female Actor in a Television Series – Musical or Comedy
Bradley Cooper,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama
Cailee Spaeny,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Drama
Elle Fanning,2024,Nominee,Best Performance by a Female Actor in a Television Series – Musical or Comedy
Selena Gomez,2024,Nominee,Best Performance by a Female Actor in a Television Series – Musical or Comedy
Carey Mulligan,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Drama
Greta Lee,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Drama
Jason Sudeikis,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy
Peaches,2024,Nominee,Best Original Song - Motion Picture
Jeremy Allen White,2024,Winner,Best Performance by a Male Actor in a Television Series – Musical or Comedy
All the Light We Cannot See,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Beef,2024,Winner,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Daisy Jones and the Six,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Fargo,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Fellow Travelers,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
I’m Just Ken,2024,Nominee,Best Original Song - Motion Picture
Lessons in Chemistry,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Jason Sudeikis,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy
Peaches,2024,Nominee,Best Original Song - Motion Picture
Jeremy Allen White,2024,Winner,Best Performance by a Male Actor in a Television Series – Musical or Comedy
All the Light We Cannot See,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Beef,2024,Winner,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Daisy Jones and the Six,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Fargo,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Fellow Travelers,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
I’m Just Ken,2024,Nominee,Best Original Song - Motion Picture
Lessons in Chemistry,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Riley Keough,2024,Nominee,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Brie Larson,2024,Nominee,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Elizabeth Olsen,2024,Nominee,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Dance the Night,2024,Nominee,Best Original Song - Motion Picture
Juno Temple,2024,Nominee,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Addicted to Romance,2024,Nominee,Best Original Song - Motion Picture
Robbie Robertson,2024,Nominee,Best Original Score - Motion Picture
Rachel Weisz,2024,Nominee,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Daniel Pemberton,2024,Nominee,Best Original Score - Motion Picture
Mica Levi,2024,Nominee,Best Original Score - Motion Picture
Maestro,2024,Nominee,Best Motion Picture - Drama
Killers of the Flower Moon,2024,Nominee,Best Motion Picture - Drama
Anatomy of a Fall,2024,Nominee,Best Motion Picture - Drama
Woody Harrelson,2024,Nominee,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Wanda Sykes: I’m an Entertainer,2024,Nominee,Best Performance in Stand-Up Comedy on Television
Sarah Silverman: Someone You Love,2024,Nominee,Best Performance in Stand-Up Comedy on Television
Amy Schumer: Emergency Contact,2024,Nominee,Best Performance in Stand-Up Comedy on Television
David Oyelowo,2024,Nominee,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Steven Yeun,2024,Winner,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Chris Rock: Selective Outrage,2024,Nominee,Best Performance in Stand-Up Comedy on Television
Trevor Noah: Where Was I,2024,Nominee,Best Performance in Stand-Up Comedy on Television
Elizabeth Debicki,2024,Winner,Best Performance by a Female Actor in a Supporting Role on Television
Ricky Gervais: Armageddon,2024,Winner,Best Performance in Stand-Up Comedy on Television
Abby Elliott,2024,Nominee,Best Performance by a Female Actor in a Supporting Role on Television
Alexander Skarsgård,2024,Nominee,Best Performance by a Male Actor in a Supporting Role on Television
Christina Ricci,2024,Nominee,Best Performance by a Female Actor in a Supporting Role on Television
Alan Ruck,2024,Nominee,Best Performance by a Male Actor in a Supporting Role on Television
J. Smith-Cameron,2024,Nominee,Best Performance by a Female Actor in a Supporting Role on Television
Ebon Moss–Bachrach,2024,Nominee,Best Performance by a Male Actor in a Supporting Role on Television
Meryl Streep,2024,Nominee,Best Performance by a Female Actor in a Supporting Role on Television
James Marsden,2024,Nominee,Best Performance by a Male Actor in a Supporting Role on Television
Matthew Macfadyen,2024,Winner,Best Performance by a Male Actor in a Supporting Role on Television
Hannah Waddingham,2024,Nominee,Best Performance by a Female Actor in a Supporting Role on Television
Billy Crudup,2024,Nominee,Best Performance by a Male Actor in a Supporting Role on Television
Avatar: The Way of Water,2023,Nominee,Best Motion Picture - Drama
Elvis,2023,Nominee,Best Motion Picture - Drama
"Fabelmans, The",2023,Winner,Best Motion Picture - Drama
TÁR,2023,Nominee,Best Motion Picture - Drama
Top Gun: Maverick,2023,Nominee,Best Motion Picture - Drama
Cate Blanchett,2023,Winner,Best Performance by an Actress in a Motion Picture - Drama
Olivia Colman,2023,Nominee,Best Performance by an Actress in a Motion Picture - Drama
Viola Davis,2023,Nominee,Best Performance by an Actress in a Motion Picture - Drama
Ana de Armas,2023,Nominee,Best Performance by an Actress in a Motion Picture - Drama
Michelle Williams,2023,Nominee,Best Performance by an Actress in a Motion Picture - Drama
Austin Butler,2023,Winner,Best Performance by an Actor in a Motion Picture - Drama
Brendan Fraser,2023,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Hugh Jackman,2023,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Bill Nighy,2023,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Jeremy Pope,2023,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Babylon,2023,Nominee,Best Motion Picture - Musical or Comedy
"Banshees of Inisherin, The",2023,Winner,Best Motion Picture - Musical or Comedy
Everything Everywhere All at Once,2023,Nominee,Best Motion Picture - Musical or Comedy
Glass Onion: A Knives Out Mystery,2023,Nominee,Best Motion Picture - Musical or Comedy
Triangle of Sadness,2023,Nominee,Best Motion Picture - Musical or Comedy
Lesley Manville,2023,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Margot Robbie,2023,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Anya Taylor-Joy,2023,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Emma Thompson,2023,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Michelle Yeoh,2023,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Diego Calva,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Daniel Craig,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Adam Driver,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Colin Farrell,2023,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Ralph Fiennes,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Guillermo del Toro's Pinocchio,2023,Winner,Best Motion Picture - Animated
Inu-Oh,2023,Nominee,Best Motion Picture - Animated
Marcel the Shell with Shoes On,2023,Nominee,Best Motion Picture - Animated
Puss in Boots: The Last Wish,2023,Nominee,Best Motion Picture - Animated
Turning Red,2023,Nominee,Best Motion Picture - Animated
All Quiet on the Western Front,2023,Nominee,Best Motion Picture – Non-English Language
Daniel Craig,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Adam Driver,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Colin Farrell,2023,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Ralph Fiennes,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Guillermo del Toro's Pinocchio,2023,Winner,Best Motion Picture - Animated
Inu-Oh,2023,Nominee,Best Motion Picture - Animated
Marcel the Shell with Shoes On,2023,Nominee,Best Motion Picture - Animated
Puss in Boots: The Last Wish,2023,Nominee,Best Motion Picture - Animated
Turning Red,2023,Nominee,Best Motion Picture - Animated
All Quiet on the Western Front,2023,Nominee,Best Motion Picture – Non-English Language
"Argentina, 1985",2023,Winner,Best Motion Picture – Non-English Language
Close,2023,Nominee,Best Motion Picture – Non-English Language
Decision to Leave,2023,Nominee,Best Motion Picture – Non-English Language
RRR,2023,Nominee,Best Motion Picture – Non-English Language
Angela Bassett,2023,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture
Kerry Condon,2023,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture
Jamie Lee Curtis,2023,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture
Dolly de Leon,2023,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture
Carey Mulligan,2023,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture
Brendan Gleeson,2023,Nominee,Best Performance by an Actor in a Supporting Role in any Motion Picture
"Daniel Kwan, Daniel Scheinert",2023,Nominee,Best Screenplay - Motion Picture
Martin McDonagh,2023,Winner,Best Screenplay - Motion Picture
Sarah Polley,2023,Nominee,Best Screenplay - Motion Picture
"Steven Spielberg, Tony Kushner",2023,Nominee,Best Screenplay - Motion Picture
Carter Burwell,2023,Nominee,Best Original Score - Motion Picture
Alexandre Desplat,2023,Nominee,Best Original Score - Motion Picture
Hildur Guðnadóttir,2023,Nominee,Best Original Score - Motion Picture
Justin Hurwitz,2023,Winner,Best Original Score - Motion Picture
John Williams,2023,Nominee,Best Original Score - Motion Picture
Carolina,2023,Nominee,Best Original Song - Motion Picture
"Daniel Kwan, Daniel Scheinert",2023,Nominee,Best Screenplay - Motion Picture
Martin McDonagh,2023,Winner,Best Screenplay - Motion Picture
Sarah Polley,2023,Nominee,Best Screenplay - Motion Picture
"Steven Spielberg, Tony Kushner",2023,Nominee,Best Screenplay - Motion Picture
Carter Burwell,2023,Nominee,Best Original Score - Motion Picture
Alexandre Desplat,2023,Nominee,Best Original Score - Motion Picture
Hildur Guðnadóttir,2023,Nominee,Best Original Score - Motion Picture
Justin Hurwitz,2023,Winner,Best Original Score - Motion Picture
John Williams,2023,Nominee,Best Original Score - Motion Picture
Carolina,2023,Nominee,Best Original Song - Motion Picture
Ciao Papa,2023,Nominee,Best Original Song - Motion Picture
Hold My Hand,2023,Nominee,Best Original Song - Motion Picture
Lift Me Up,2023,Nominee,Best Original Song - Motion Picture
Naatu Naatu,2023,Winner,Best Original Song - Motion Picture
Better Call Saul,2023,Nominee,Best Television Series - Drama
"Crown, The",2023,Nominee,Best Television Series - Drama
House of the Dragon,2023,Winner,Best Television Series - Drama
Ozark,2023,Nominee,Best Television Series - Drama
Severance,2023,Nominee,Best Television Series - Drama
Emma D’Arcy,2023,Nominee,Best Performance by an Actress In A Television Series - Drama
Laura Linney,2023,Nominee,Best Performance by an Actress In A Television Series - Drama
Imelda Staunton,2023,Nominee,Best Performance by an Actress In A Television Series - Drama
Hilary Swank,2023,Nominee,Best Performance by an Actress In A Television Series - Drama
Zendaya,2023,Winner,Best Performance by an Actress In A Television Series - Drama
Jeff Bridges,2023,Nominee,Best Performance by an Actor In A Television Series - Drama
Kevin Costner,2023,Winner,Best Performance by an Actor In A Television Series - Drama
Diego Luna,2023,Nominee,Best Performance by an Actor In A Television Series - Drama
Bob Odenkirk,2023,Nominee,Best Performance by an Actor In A Television Series - Drama
Adam Scott,2023,Nominee,Best Performance by an Actor In A Television Series - Drama
Abbott Elementary,2023,Winner,Best Television Series - Musical or Comedy
Bill Hader,2023,Nominee,Best Performance by an Actor in a Television Series - Musical or Comedy
Steve Martin,2023,Nominee,Best Performance by an Actor in a Television Series - Musical or Comedy
Martin Short,2023,Nominee,Best Performance by an Actor in a Television Series - Musical or Comedy
Jeremy Allen White,2023,Winner,Best Performance by an Actor in a Television Series - Musical or Comedy
Black Bird,2023,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Dahmer - Monster: The Jeffrey Dahmer Story,2023,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
"Dropout, The",2023,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Pam & Tommy,2023,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
"White Lotus, The",2023,Winner,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Jessica Chastain,2023,Nominee,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Bill Hader,2023,Nominee,Best Performance by an Actor in a Television Series - Musical or Comedy
Steve Martin,2023,Nominee,Best Performance by an Actor in a Television Series - Musical or Comedy
Martin Short,2023,Nominee,Best Performance by an Actor in a Television Series - Musical or Comedy
Jeremy Allen White,2023,Winner,Best Performance by an Actor in a Television Series - Musical or Comedy
Black Bird,2023,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Dahmer - Monster: The Jeffrey Dahmer Story,2023,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
"Dropout, The",2023,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Pam & Tommy,2023,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
"White Lotus, The",2023,Winner,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television"
Jessica Chastain,2023,Nominee,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television"
Claire Danes,2023,Nominee,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television"
Daisy Edgar-Jones,2023,Nominee,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television"
Niecy Nash-Betts,2023,Nominee,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television"
Aubrey Plaza,2023,Nominee,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television"
F. Murray Abraham,2023,Nominee,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television"
Domhnall Gleeson,2023,Nominee,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television"
Paul Hauser,2023,Winner,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television"
Richard Jenkins,2023,Nominee,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television"
Seth Rogen,2023,Nominee,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television"
Elizabeth Debicki,2023,Nominee,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series
Hannah Einbinder,2023,Nominee,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series
Julia Garner,2023,Winner,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series
Janelle James,2023,Nominee,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series
Sheryl Ralph,2023,Nominee,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series
John Lithgow,2023,Nominee,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series
Jonathan Pryce,2023,Nominee,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series
John Turturro,2023,Nominee,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series
Tyler Williams,2023,Winner,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series
Henry Winkler,2023,Nominee,Best Performance by an Actor in a Supporting Role in a Musical-Comedy or Drama Television Series
Belfast,2022,Nominee,Best Motion Picture - Drama
CODA,2022,Nominee,Best Motion Picture - Drama
Dune,2022,Nominee,Best Motion Picture - Drama
King Richard,2022,Nominee,Best Motion Picture - Drama
"Power of the Dog, The",2022,Winner,Best Motion Picture - Drama
Jessica Chastain,2022,Nominee,Best Performance by an Actress in a Motion Picture - Drama
Olivia Colman,2022,Nominee,Best Performance by an Actress in a Motion Picture - Drama
Nicole Kidman,2022,Winner,Best Performance by an Actress in a Motion Picture - Drama
Lady Gaga,2022,Nominee,Best Performance by an Actress in a Motion Picture - Drama
Kristen Stewart,2022,Nominee,Best Performance by an Actress in a Motion Picture - Drama
Mahershala Ali,2022,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Javier Bardem,2022,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Benedict Cumberbatch,2022,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Will Smith,2022,Winner,Best Performance by an Actor in a Motion Picture - Drama
Denzel Washington,2022,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Cyrano,2022,Nominee,Best Motion Picture - Musical or Comedy
Don't Look Up,2022,Nominee,Best Motion Picture - Musical or Comedy
Licorice Pizza,2022,Nominee,Best Motion Picture - Musical or Comedy
"tick, tick...BOOM!",2022,Nominee,Best Motion Picture - Musical or Comedy
West Side Story (2021),2022,Winner,Best Motion Picture - Musical or Comedy
Marion Cotillard,2022,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Javier Bardem,2022,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Benedict Cumberbatch,2022,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Will Smith,2022,Winner,Best Performance by an Actor in a Motion Picture - Drama
Denzel Washington,2022,Nominee,Best Performance by an Actor in a Motion Picture - Drama
Cyrano,2022,Nominee,Best Motion Picture - Musical or Comedy
Don't Look Up,2022,Nominee,Best Motion Picture - Musical or Comedy
Licorice Pizza,2022,Nominee,Best Motion Picture - Musical or Comedy
"tick, tick...BOOM!",2022,Nominee,Best Motion Picture - Musical or Comedy
West Side Story (2021),2022,Winner,Best Motion Picture - Musical or Comedy
Marion Cotillard,2022,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Alana Haim,2022,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Jennifer Lawrence,2022,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Emma Stone,2022,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Rachel Zegler,2022,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy
Leonardo DiCaprio,2022,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Peter Dinklage,2022,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Andrew Garfield,2022,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Cooper Hoffman,2022,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Anthony Ramos,2022,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy
Encanto,2022,Winner,Best Motion Picture - Animated
Ariana DeBose,2022,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture
Kirsten Dunst,2022,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture
Aunjanue Ellis,2022,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture
Ruth Negga,2022,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture
Ben Affleck,2022,Nominee,Best Performance by an Actor in a Supporting Role in any Motion Picture
