title,year,status,award,movie
Succession,2024,Winner,Best Television Series - Drama,
Mission: Impossible - Dead Reckoning Part 1,2024,Nominee,Cinematic and Box Office Achievement,
"Last of Us, The",2024,Nominee,Best Television Series - Drama,
Taylor Swift: The Eras Tour,2024,Nominee,Cinematic and Box Office Achievement,
John Wick: Chapter 4,2024,Nominee,Cinematic and Box Office Achievement,
The Super Mario Bros. Movie,2024,Nominee,Cinematic and Box Office Achievement,
Guardians of the Galaxy Vol. 3,2024,Nominee,Cinematic and Box Office Achievement,
Spider-Man: Across the Spider-Verse,2024,Nominee,Cinematic and Box Office Achievement,
Oppenheimer,2024,Nominee,Cinematic and Box Office Achievement,
Barbie,2024,Winner,Cinematic and Box Office Achievement,
Succession,2024,Winner,Best Television Series - Drama,
Mission: Impossible - Dead Reckoning Part 1,2024,Nominee,Cinematic and Box Office Achievement,
"Last of Us, The",2024,Nominee,Best Television Series - Drama,
Taylor Swift: The Eras Tour,2024,Nominee,Cinematic and Box Office Achievement,
John Wick: Chapter 4,2024,Nominee,Cinematic and Box Office Achievement,
The Super Mario Bros. Movie,2024,Nominee,Cinematic and Box Office Achievement,
Guardians of the Galaxy Vol. 3,2024,Nominee,Cinematic and Box Office Achievement,
Spider-Man: Across the Spider-Verse,2024,Nominee,Cinematic and Box Office Achievement,
Oppenheimer,2024,Nominee,Cinematic and Box Office Achievement,
Barbie,2024,Winner,Cinematic and Box Office Achievement,
Yorgos Lanthimos,2024,Nominee,Best Director - Motion Picture,Poor Things
Sarah Snook,2024,Winner,Best Performance by a Female Actor in a Television Series – Drama,Succession
Greta Gerwig,2024,Nominee,Best Director - Motion Picture,Barbie
Christopher Nolan,2024,Winner,Best Director - Motion Picture,Oppenheimer
Bella Ramsey,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,"Last of Us, The"
Martin Scorsese,2024,Nominee,Best Director - Motion Picture,Killers of the Flower Moon
Keri Russell,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,"Diplomat, The"
Mark Ruffalo,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Poor Things
Charles Melton,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,May December
Ryan Gosling,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Barbie
Yorgos Lanthimos,2024,Nominee,Best Director - Motion Picture,Poor Things
Sarah Snook,2024,Winner,Best Performance by a Female Actor in a Television Series – Drama,Succession
Greta Gerwig,2024,Nominee,Best Director - Motion Picture,Barbie
Christopher Nolan,2024,Winner,Best Director - Motion Picture,Oppenheimer
Bella Ramsey,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,"Last of Us, The"
Martin Scorsese,2024,Nominee,Best Director - Motion Picture,Killers of the Flower Moon
Keri Russell,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,"Diplomat, The"
Mark Ruffalo,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Poor Things
Charles Melton,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,May December
Ryan Gosling,2024,Nominee,Best Performance by a Male Actor in a Supporting Role in any Motion Picture,Barbie
The Zone of Interest,2024,Nominee,Best Motion Picture – Non-English Language,
Society of the Snow,2024,Nominee,Best Motion Picture – Non-English Language,
Past Lives,2024,Nominee,Best Motion Picture – Non-English Language,
Io Capitano,2024,Nominee,Best Motion Picture – Non-English Language,
"Diplomat, The",2024,Nominee,Best Television Series - Drama,
Fallen Leaves,2024,Nominee,Best Motion Picture – Non-English Language,
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language,
Helen Mirren,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,1923
Wish,2024,Nominee,Best Motion Picture - Animated,
Suzume,2024,Nominee,Best Motion Picture - Animated,
The Zone of Interest,2024,Nominee,Best Motion Picture – Non-English Language,
Society of the Snow,2024,Nominee,Best Motion Picture – Non-English Language,
Past Lives,2024,Nominee,Best Motion Picture – Non-English Language,
Io Capitano,2024,Nominee,Best Motion Picture – Non-English Language,
"Diplomat, The",2024,Nominee,Best Television Series - Drama,
Fallen Leaves,2024,Nominee,Best Motion Picture – Non-English Language,
Anatomy of a Fall,2024,Winner,Best Motion Picture – Non-English Language,
Helen Mirren,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,1923
Wish,2024,Nominee,Best Motion Picture - Animated,
Suzume,2024,Nominee,Best Motion Picture - Animated,
Nicolas Cage,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,Dream Scenario
Emma Stone,2024,Nominee,Best Performance by a Female Actor in a Television Series – Drama,"Curse, The"
Emma Stone,2024,Winner,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Poor Things
Margot Robbie,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Barbie
Brian Cox,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama,Succession
Alma Pöysti,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,Fallen Leaves
Kieran Culkin,2024,Winner,Best Performance by a Male Actor in a Television Series – Drama,Succession
Natalie Portman,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,May December
Jennifer Lawrence,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,No Hard Feelings
Gary Oldman,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama,Slow Horses
Fantasia Barrino,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,The Color Purple (2023)
Pedro Pascal,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama,"Last of Us, The"
Poor Things,2024,Winner,Best Motion Picture - Musical or Comedy,
Jeremy Strong,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama,Succession
May December,2024,Nominee,Best Motion Picture - Musical or Comedy,
"Holdovers, The",2024,Nominee,Best Motion Picture - Musical or Comedy,
Barbie,2024,Nominee,Best Motion Picture - Musical or Comedy,
Dominic West,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama,"Crown, The"
Abbott Elementary,2024,Nominee,Best Television Series - Musical or Comedy,
American Fiction,2024,Nominee,Best Motion Picture - Musical or Comedy,
Fantasia Barrino,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Musical or Comedy,The Color Purple (2023)
Pedro Pascal,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama,"Last of Us, The"
Poor Things,2024,Winner,Best Motion Picture - Musical or Comedy,
Jeremy Strong,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama,Succession
May December,2024,Nominee,Best Motion Picture - Musical or Comedy,
"Holdovers, The",2024,Nominee,Best Motion Picture - Musical or Comedy,
Barbie,2024,Nominee,Best Motion Picture - Musical or Comedy,
Dominic West,2024,Nominee,Best Performance by a Male Actor in a Television Series – Drama,"Crown, The"
Abbott Elementary,2024,Nominee,Best Television Series - Musical or Comedy,
American Fiction,2024,Nominee,Best Motion Picture - Musical or Comedy,
Barry,2024,Nominee,Best Television Series - Musical or Comedy,
Air,2024,Nominee,Best Motion Picture - Musical or Comedy,
"Bear, The",2024,Winner,Best Television Series - Musical or Comedy,
Andrew Scott,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama,All of Us Strangers
Jury Duty,2024,Nominee,Best Television Series - Musical or Comedy,
Only Murders in the Building,2024,Nominee,Best Television Series - Musical or Comedy,
Cillian Murphy,2024,Winner,Best Performance by a Male Actor in a Motion Picture – Drama,Oppenheimer
Ted Lasso,2024,Nominee,Best Television Series - Musical or Comedy,
Barry Keoghan,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama,Saltburn
Colman Domingo,2024,Nominee,Best Performance by a Male Actor in a Motion Picture – Drama,Rustin
Natasha Lyonne,2024,Nominee,Best Performance by a Female Actor in a Television Series – Musical or Comedy,Poker Face
Sandra Hüller,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Drama,Anatomy of a Fall
Bill Hader,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Barry
Lily Gladstone,2024,Winner,Best Performance by a Female Actor in a Motion Picture – Drama,Killers of the Flower Moon
Annette Bening,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Drama,Nyad
Steve Martin,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Only Murders in the Building
What Was I Made For?,2024,Winner,Best Original Song - Motion Picture,Barbie
Jason Segel,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Shrinking
Road to Freedom,2024,Nominee,Best Original Song - Motion Picture,Rustin
Martin Short,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Only Murders in the Building
Natasha Lyonne,2024,Nominee,Best Performance by a Female Actor in a Television Series – Musical or Comedy,Poker Face
Sandra Hüller,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Drama,Anatomy of a Fall
Bill Hader,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Barry
Lily Gladstone,2024,Winner,Best Performance by a Female Actor in a Motion Picture – Drama,Killers of the Flower Moon
Annette Bening,2024,Nominee,Best Performance by a Female Actor in a Motion Picture – Drama,Nyad
Steve Martin,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Only Murders in the Building
What Was I Made For?,2024,Winner,Best Original Song - Motion Picture,Barbie
Jason Segel,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Shrinking
Road to Freedom,2024,Nominee,Best Original Song - Motion Picture,Rustin
Martin Short,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Only Murders in the Building
Jason Sudeikis,2024,Nominee,Best Performance by a Male Actor in a Television Series – Musical or Comedy,Ted Lasso
Peaches,2024,Nominee,Best Original Song - Motion Picture,The Super Mario Bros. Movie
Jeremy Allen White,2024,Winner,Best Performance by a Male Actor in a Television Series – Musical or Comedy,"Bear, The"
All the Light We Cannot See,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",
Beef,2024,Winner,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",
Daisy Jones and the Six,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",
Fargo,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",
Fellow Travelers,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",
I’m Just Ken,2024,Nominee,Best Original Song - Motion Picture,Barbie
Lessons in Chemistry,2024,Nominee,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",
Joe Hisaishi,2024,Nominee,Best Original Score - Motion Picture,"Boy and the Heron, The"
Ali Wong,2024,Winner,"Best Performance by a Female Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Beef
Ludwig Göransson,2024,Winner,Best Original Score - Motion Picture,Oppenheimer
Matt Bomer,2024,Nominee,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Fellow Travelers
Jerskin Fendrix,2024,Nominee,Best Original Score - Motion Picture,Poor Things
Sam Claflin,2024,Nominee,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Daisy Jones and the Six
The Zone of Interest,2024,Nominee,Best Motion Picture - Drama,
Jon Hamm,2024,Nominee,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Fargo
Past Lives,2024,Nominee,Best Motion Picture - Drama,
Oppenheimer,2024,Winner,Best Motion Picture - Drama,
Maestro,2024,Nominee,Best Motion Picture - Drama,
Killers of the Flower Moon,2024,Nominee,Best Motion Picture - Drama,
Anatomy of a Fall,2024,Nominee,Best Motion Picture - Drama,
Woody Harrelson,2024,Nominee,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",White House Plumbers
Wanda Sykes: I’m an Entertainer,2024,Nominee,Best Performance in Stand-Up Comedy on Television,
Sarah Silverman: Someone You Love,2024,Nominee,Best Performance in Stand-Up Comedy on Television,
Amy Schumer: Emergency Contact,2024,Nominee,Best Performance in Stand-Up Comedy on Television,
David Oyelowo,2024,Nominee,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Lawmen: Bass Reeves
Steven Yeun,2024,Winner,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Beef
Chris Rock: Selective Outrage,2024,Nominee,Best Performance in Stand-Up Comedy on Television,
Maestro,2024,Nominee,Best Motion Picture - Drama,
Killers of the Flower Moon,2024,Nominee,Best Motion Picture - Drama,
Anatomy of a Fall,2024,Nominee,Best Motion Picture - Drama,
Woody Harrelson,2024,Nominee,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",White House Plumbers
Wanda Sykes: I’m an Entertainer,2024,Nominee,Best Performance in Stand-Up Comedy on Television,
Sarah Silverman: Someone You Love,2024,Nominee,Best Performance in Stand-Up Comedy on Television,
Amy Schumer: Emergency Contact,2024,Nominee,Best Performance in Stand-Up Comedy on Television,
David Oyelowo,2024,Nominee,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Lawmen: Bass Reeves
Steven Yeun,2024,Winner,"Best Performance by a Male Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Beef
Chris Rock: Selective Outrage,2024,Nominee,Best Performance in Stand-Up Comedy on Television,
James Marsden,2024,Nominee,Best Performance by a Male Actor in a Supporting Role on Television,Jury Duty
Matthew Macfadyen,2024,Winner,Best Performance by a Male Actor in a Supporting Role on Television,Succession
Hannah Waddingham,2024,Nominee,Best Performance by a Female Actor in a Supporting Role on Television,Ted Lasso
Billy Crudup,2024,Nominee,Best Performance by a Male Actor in a Supporting Role on Television,"Morning Show, The"
Avatar: The Way of Water,2023,Nominee,Best Motion Picture - Drama,
Elvis,2023,Nominee,Best Motion Picture - Drama,
"Fabelmans, The",2023,Winner,Best Motion Picture - Drama,
TÁR,2023,Nominee,Best Motion Picture - Drama,
Top Gun: Maverick,2023,Nominee,Best Motion Picture - Drama,
Cate Blanchett,2023,Winner,Best Performance by an Actress in a Motion Picture - Drama,TÁR
James Marsden,2024,Nominee,Best Performance by a Male Actor in a Supporting Role on Television,Jury Duty
Matthew Macfadyen,2024,Winner,Best Performance by a Male Actor in a Supporting Role on Television,Succession
Hannah Waddingham,2024,Nominee,Best Performance by a Female Actor in a Supporting Role on Television,Ted Lasso
Billy Crudup,2024,Nominee,Best Performance by a Male Actor in a Supporting Role on Television,"Morning Show, The"
Avatar: The Way of Water,2023,Nominee,Best Motion Picture - Drama,
Elvis,2023,Nominee,Best Motion Picture - Drama,
"Fabelmans, The",2023,Winner,Best Motion Picture - Drama,
TÁR,2023,Nominee,Best Motion Picture - Drama,
Top Gun: Maverick,2023,Nominee,Best Motion Picture - Drama,
Cate Blanchett,2023,Winner,Best Performance by an Actress in a Motion Picture - Drama,TÁR
Olivia Colman,2023,Nominee,Best Performance by an Actress in a Motion Picture - Drama,Empire of Light
Viola Davis,2023,Nominee,Best Performance by an Actress in a Motion Picture - Drama,"Woman King, The"
Ana de Armas,2023,Nominee,Best Performance by an Actress in a Motion Picture - Drama,Blonde
Michelle Williams,2023,Nominee,Best Performance by an Actress in a Motion Picture - Drama,"Fabelmans, The"
Austin Butler,2023,Winner,Best Performance by an Actor in a Motion Picture - Drama,Elvis
Brendan Fraser,2023,Nominee,Best Performance by an Actor in a Motion Picture - Drama,"Whale, The"
Hugh Jackman,2023,Nominee,Best Performance by an Actor in a Motion Picture - Drama,"Son, The"
Bill Nighy,2023,Nominee,Best Performance by an Actor in a Motion Picture - Drama,Living
Jeremy Pope,2023,Nominee,Best Performance by an Actor in a Motion Picture - Drama,"Inspection, The"
Babylon,2023,Nominee,Best Motion Picture - Musical or Comedy,
"Banshees of Inisherin, The",2023,Winner,Best Motion Picture - Musical or Comedy,
Everything Everywhere All at Once,2023,Nominee,Best Motion Picture - Musical or Comedy,
Glass Onion: A Knives Out Mystery,2023,Nominee,Best Motion Picture - Musical or Comedy,
Triangle of Sadness,2023,Nominee,Best Motion Picture - Musical or Comedy,
Lesley Manville,2023,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Mrs. Harris Goes to Paris
Margot Robbie,2023,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Babylon
Anya Taylor-Joy,2023,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Menu, The"
Emma Thompson,2023,Nominee,Best Performance by an Actress in a Motion Picture - Musical or Comedy,"Good Luck to You, Leo Grande"
Michelle Yeoh,2023,Winner,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Everything Everywhere All at Once
Diego Calva,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Babylon
Daniel Craig,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Glass Onion: A Knives Out Mystery
Adam Driver,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy,White Noise
Colin Farrell,2023,Winner,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Banshees of Inisherin, The"
Ralph Fiennes,2023,Nominee,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Menu, The"
Guillermo del Toro's Pinocchio,2023,Winner,Best Motion Picture - Animated,
Inu-Oh,2023,Nominee,Best Motion Picture - Animated,
Marcel the Shell with Shoes On,2023,Nominee,Best Motion Picture - Animated,
Puss in Boots: The Last Wish,2023,Nominee,Best Motion Picture - Animated,
Turning Red,2023,Nominee,Best Motion Picture - Animated,
All Quiet on the Western Front,2023,Nominee,Best Motion Picture – Non-English Language,
"Argentina, 1985",2023,Winner,Best Motion Picture – Non-English Language,
Close,2023,Nominee,Best Motion Picture – Non-English Language,
Decision to Leave,2023,Nominee,Best Motion Picture – Non-English Language,
RRR,2023,Nominee,Best Motion Picture – Non-English Language,
Angela Bassett,2023,Winner,Best Performance by an Actress in a Supporting Role in any Motion Picture,Black Panther: Wakanda Forever
Kerry Condon,2023,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture,"Banshees of Inisherin, The"
Jamie Lee Curtis,2023,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture,Everything Everywhere All at Once
Dolly de Leon,2023,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture,Triangle of Sadness
Carey Mulligan,2023,Nominee,Best Performance by an Actress in a Supporting Role in any Motion Picture,She Said
Brendan Gleeson,2023,Nominee,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Banshees of Inisherin, The"
Barry Keoghan,2023,Nominee,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Banshees of Inisherin, The"
Brad Pitt,2023,Nominee,Best Performance by an Actor in a Supporting Role in any Motion Picture,Babylon
Ke Huy Quan,2023,Winner,Best Performance by an Actor in a Supporting Role in any Motion Picture,Everything Everywhere All at Once
Eddie Redmayne,2023,Nominee,Best Performance by an Actor in a Supporting Role in any Motion Picture,"Good Nurse, The"
James Cameron,2023,Nominee,Best Director - Motion Picture,Avatar: The Way of Water
"Daniel Kwan, Daniel Scheinert",2023,Nominee,Best Director - Motion Picture,Everything Everywhere All at Once
Baz Luhrmann,2023,Nominee,Best Director - Motion Picture,Elvis
Martin McDonagh,2023,Nominee,Best Director - Motion Picture,"Banshees of Inisherin, The"
Steven Spielberg,2023,Winner,Best Director - Motion Picture,"Fabelmans, The"
Todd Field,2023,Nominee,Best Screenplay - Motion Picture,TÁR
"Daniel Kwan, Daniel Scheinert",2023,Nominee,Best Screenplay - Motion Picture,Everything Everywhere All at Once
Martin McDonagh,2023,Winner,Best Screenplay - Motion Picture,"Banshees of Inisherin, The"
Sarah Polley,2023,Nominee,Best Screenplay - Motion Picture,Women Talking
"Steven Spielberg, Tony Kushner",2023,Nominee,Best Screenplay - Motion Picture,"Fabelmans, The"
Carter Burwell,2023,Nominee,Best Original Score - Motion Picture,"Banshees of Inisherin, The"
Alexandre Desplat,2023,Nominee,Best Original Score - Motion Picture,Guillermo del Toro's Pinocchio
Hildur Guðnadóttir,2023,Nominee,Best Original Score - Motion Picture,Women Talking
Justin Hurwitz,2023,Winner,Best Original Score - Motion Picture,Babylon
John Williams,2023,Nominee,Best Original Score - Motion Picture,"Fabelmans, The"
Carolina,2023,Nominee,Best Original Song - Motion Picture,Where the Crawdads Sing
Ciao Papa,2023,Nominee,Best Original Song - Motion Picture,Guillermo del Toro's Pinocchio
Hold My Hand,2023,Nominee,Best Original Song - Motion Picture,Top Gun: Maverick
Lift Me Up,2023,Nominee,Best Original Song - Motion Picture,Black Panther: Wakanda Forever
Naatu Naatu,2023,Winner,Best Original Song - Motion Picture,RRR
Better Call Saul,2023,Nominee,Best Television Series - Drama,
"Crown, The",2023,Nominee,Best Television Series - Drama,
House of the Dragon,2023,Winner,Best Television Series - Drama,
Ozark,2023,Nominee,Best Television Series - Drama,
Severance,2023,Nominee,Best Television Series - Drama,
Emma D’Arcy,2023,Nominee,Best Performance by an Actress In A Television Series - Drama,House of the Dragon
"Bear, The",2023,Nominee,Best Television Series - Musical or Comedy,
Hacks,2023,Nominee,Best Television Series - Musical or Comedy,
Only Murders in the Building,2023,Nominee,Best Television Series - Musical or Comedy,
Wednesday,2023,Nominee,Best Television Series - Musical or Comedy,
Quinta Brunson,2023,Winner,Best Performance by an Actress in a Television Series - Musical or Comedy,Abbott Elementary
Kaley Cuoco,2023,Nominee,Best Performance by an Actress in a Television Series - Musical or Comedy,"Flight Attendant, The"
Selena Gomez,2023,Nominee,Best Performance by an Actress in a Television Series - Musical or Comedy,Only Murders in the Building
Jenna Ortega,2023,Nominee,Best Performance by an Actress in a Television Series - Musical or Comedy,Wednesday
Jean Smart,2023,Nominee,Best Performance by an Actress in a Television Series - Musical or Comedy,Hacks
Donald Glover,2023,Nominee,Best Performance by an Actor in a Television Series - Musical or Comedy,Atlanta
"Bear, The",2023,Nominee,Best Television Series - Musical or Comedy,
Hacks,2023,Nominee,Best Television Series - Musical or Comedy,
Only Murders in the Building,2023,Nominee,Best Television Series - Musical or Comedy,
Wednesday,2023,Nominee,Best Television Series - Musical or Comedy,
Quinta Brunson,2023,Winner,Best Performance by an Actress in a Television Series - Musical or Comedy,Abbott Elementary
Kaley Cuoco,2023,Nominee,Best Performance by an Actress in a Television Series - Musical or Comedy,"Flight Attendant, The"
Selena Gomez,2023,Nominee,Best Performance by an Actress in a Television Series - Musical or Comedy,Only Murders in the Building
Jenna Ortega,2023,Nominee,Best Performance by an Actress in a Television Series - Musical or Comedy,Wednesday
Jean Smart,2023,Nominee,Best Performance by an Actress in a Television Series - Musical or Comedy,Hacks
Donald Glover,2023,Nominee,Best Performance by an Actor in a Television Series - Musical or Comedy,Atlanta
Julia Garner,2023,Nominee,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Inventing Anna
Lily James,2023,Nominee,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Pam & Tommy
Julia Roberts,2023,Nominee,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Gaslit
Amanda Seyfried,2023,Winner,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television","Dropout, The"
Taron Egerton,2023,Nominee,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Black Bird
Colin Firth,2023,Nominee,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television","Staircase, The"
Andrew Garfield,2023,Nominee,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Under the Banner of Heaven
Evan Peters,2023,Winner,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Dahmer - Monster: The Jeffrey Dahmer Story
Sebastian Stan,2023,Nominee,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Pam & Tommy
Jennifer Coolidge,2023,Winner,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television","White Lotus, The"
Julia Garner,2023,Nominee,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Inventing Anna
Lily James,2023,Nominee,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Pam & Tommy
Julia Roberts,2023,Nominee,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Gaslit
Amanda Seyfried,2023,Winner,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television","Dropout, The"
Taron Egerton,2023,Nominee,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Black Bird
Colin Firth,2023,Nominee,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television","Staircase, The"
Andrew Garfield,2023,Nominee,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Under the Banner of Heaven
Evan Peters,2023,Winner,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Dahmer - Monster: The Jeffrey Dahmer Story
Sebastian Stan,2023,Nominee,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Pam & Tommy
Jennifer Coolidge,2023,Winner,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television","White Lotus, The"
Claire Danes,2023,Nominee,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Fleishman Is in Trouble
Daisy Edgar-Jones,2023,Nominee,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Under the Banner of Heaven
Niecy Nash-Betts,2023,Nominee,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Dahmer - Monster: The Jeffrey Dahmer Story
Aubrey Plaza,2023,Nominee,"Best Performance by an Actress in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television","White Lotus, The"
F. Murray Abraham,2023,Nominee,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television","White Lotus, The"
Domhnall Gleeson,2023,Nominee,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television","Patient, The"
Paul Hauser,2023,Winner,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Black Bird
Richard Jenkins,2023,Nominee,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Dahmer - Monster: The Jeffrey Dahmer Story
Seth Rogen,2023,Nominee,"Best Performance by an Actor in a Supporting Role in a Limited Series, Anthology Series or Motion Picture Made for Television",Pam & Tommy
Elizabeth Debicki,2023,Nominee,Best Performance by an Actress in a Supporting Role in a Musical-Comedy or Drama Television Series,"Crown, The"
CODA,2022,Nominee,Best Motion Picture - Drama,
Dune,2022,Nominee,Best Motion Picture - Drama,
King Richard,2022,Nominee,Best Motion Picture - Drama,
"Power of the Dog, The",2022,Winner,Best Motion Picture - Drama,
Jessica Chastain,2022,Nominee,Best Performance by an Actress in a Motion Picture - Drama,"Eyes of Tammy Faye, The"
Olivia Colman,2022,Nominee,Best Performance by an Actress in a Motion Picture - Drama,"Lost Daughter, The"
Nicole Kidman,2022,Winner,Best Performance by an Actress in a Motion Picture - Drama,Being the Ricardos
Lady Gaga,2022,Nominee,Best Performance by an Actress in a Motion Picture - Drama,House of Gucci
Kristen Stewart,2022,Nominee,Best Performance by an Actress in a Motion Picture - Drama,Spencer
Mahershala Ali,2022,Nominee,Best Performance by an Actor in a Motion Picture - Drama,Swan Song
